"city","state"
"De Forest","WI"
"Charlotte","NC"
"Concord Twp","OH"
"Mc Farland","WI"
"Quartier des Spectacles","QC"
"Lynhurst","OH"
"Mont-Saint-Grégoire","QC"
"Whiitby","ON"
"Montréal-West","QC"
"Sainte-thérèse","QC"
"Carefree","AZ"
"Mississauge","ON"
"Hnederson","NV"
"Millvale","PA"
"Sainte-Catherine","QC"
"Mt. Horeb","WI"
"Las Vegas Valley","NV"
"Lowesville","NC"
"Monterey Park","CA"
"Sunrise","NV"
"Mississaugua","ON"
"Garfield Heights","OH"
"St-Laurent","QC"
"Saint-Basile-le-Grand","QC"
"Mooresville","NC"
"Sharpsburg","PA"
"Hudson","QC"
"Northfield Center","OH"
"Midway","PA"
"Library","PA"
"Richmond Hil","ON"
"North Hills","PA"
"Downtown Toronto","ON"
"Avon","OH"
"Monroeville","PA"
"Centre Island","ON"
"Lakewood, Oh","OH"
"St.Pittsburgh","PA"
"Beauharnois","QC"
"Iberville","QC"
"Lorain","OH"
"Broadview Heights","OH"
"Chandler","AZ"
"Les Cèdres","QC"
"Rio Verde","AZ"
"Glbert","AZ"
"Dane","WI"
"Phoenix Valley","AZ"
"Canonsburd","PA"
"Caledon East","ON"
"West Toronto","ON"
"Ft. Mill","SC"
"Litchfield","CT"
"Auburn Twp","OH"
"Scotesdale","AZ"
"Avondale","GA"
"Dorval","QC"
"Edgemont","AB"
"Mercier","QC"
"Sainte-Marguerite-du-Lac-Masson","QC"
"N. Olmsted","OH"
"N. Las Vegas","NV"
"Highland Park","AB"
"Hampton Township","PA"
"Garfield Hts","OH"
"Brooklyn","NY"
"Las Vegass","NV"
"Bedford","QC"
"Verona","WI"
"Murrysville (Monroeville)","PA"
"Piedmont","QC"
"Maple Heights","OH"
"Sun CIty","AZ"
"Pittsburgh","PA"
"Wexford","PA"
"Brentwood","PA"
"Wickliffe","OH"
"Westport","NC"
"Rockyview","AB"
"Baie-d'Urfe","QC"
"Phoenix","AZ"
"Summerlin South","NV"
"Mentor On the Lake","OH"
"Scarborough","ON"
"Crafton","PA"
"Harrison City","PA"
"Woodbridge (Vaughan)","ON"
"North of Brampton","ON"
"Nellis Air Force Base","NV"
"Morgan Hill","CA"
"Deerfield","WI"
"Harrisbug","NC"
"Bethel Park","PA"
"Manchester","XGM"
"Toronto-North York","ON"
"Schaumburg","IL"
"Mint  Hill","NC"
"Suprise","AZ"
"Willoughby","OH"
"Sheffield","OH"
"Toronto Division","ON"
"Indian Land,","SC"
"Valley City","OH"
"East Credit","ON"
"Austin","TX"
"Thornhill","ON"
"North York","AB"
"Red Mountain","AZ"
"MACEDONIA","OH"
"Huntington Beach","CA"
"LaGrange","OH"
"Montrose","OH"
"Allentown","PA"
"Snowflake","AZ"
"Reminderville","OH"
"Elizabeth Township","PA"
"FORT MILL","SC"
"Berea","AK"
"Marvin","NC"
"Litchfield Park","AZ"
"Saint-Constant","QC"
"Pgh Int Arprt","PA"
"Medina Township","OH"
"C Las Vegas","NV"
"Temecula","CA"
"New Eagle","PA"
"Seven Hills","OH"
"Savoy","IL"
"Sainte-Rose","QC"
"Rigaud","QC"
"Cranberry Twp","PA"
"Oakwood village","OH"
"Lower burrell","PA"
"Oakville","ON"
"Moon","PA"
"Chambly","QC"
"Goodwood","ON"
"Toronto","AB"
"East McKeesport","PA"
"Verdun","QC"
"McKeesRocks","PA"
"Woodmere Village","OH"
"Mooers","NY"
"Draper","UT"
"Sun Prairie","WI"
"Pointe-Claire","QC"
"Copley","OH"
"Phoenix, AZ","AZ"
"NORTH LAS VEGAS","NV"
"Prévost","QC"
"S Concord","NC"
"Robinson Township","PA"
"Moreland Hills","OH"
"Paw Creek","NC"
"Oak Ridges","ON"
"Sun City West","AZ"
"las vegas","NV"
"Waterloo","ON"
"Woodmere","OH"
"Hudson","OH"
"Mt Lebanon","PA"
"Richmond Hill","BC"
"tempe","AZ"
"Lavaltrie","QC"
"Toronto","OH"
"El Mirage","AZ"
"Caledon","ON"
"Rawdon","QC"
"Bath","OH"
"Suncity","AZ"
"Schottsdale","AZ"
"Shaker Heights","OH"
"Alburg","VT"
"North  Ridgeville","OH"
"London","XGL"
"Eastlake","OH"
"La Prairie","QC"
"King City","ON"
"Sun Lakes","AZ"
"Saint-laurent","QC"
"Middleburg Hts.","OH"
"Estérel","QC"
"Bakerstown","PA"
"Mayfield Heights (Cleveland)","OH"
"Montreal-West","QC"
"Warrensville Heights","OH"
"Gilbert","FL"
"Irwin","PA"
"Champaign","IL"
"Glen Williams","ON"
"Dublin","CA"
"Arizona","AZ"
"Pitcairn","PA"
"Rocky River","OH"
"Penn Hills Township","PA"
"South Russell","OH"
"Chandler","CA"
"North Versailles","PA"
"L'ile-Perrot","QC"
"St. Jean Sur Richelieu","QC"
"Avon Lake","OH"
"Fort Mcdowell","AZ"
"Barberton","OH"
"Whitby","ON"
"Whitney","NV"
"SCOTTSDALE","AZ"
"Edmonton","AB"
"Sale","XGM"
"Queensville","ON"
"Macedonia","OH"
"Surprise","AZ"
"Airdrie","AB"
"Central","AZ"
"Akron","OH"
"Madison","WI"
"Philo","IL"
"Estrella Village","AZ"
"Mount Horeb","WI"
"Newmarket","ON"
"Old Brooklyn","OH"
"Mathews","NC"
"Glenshaw","PA"
"Lachenaie","QC"
"Litchfield park","AZ"
"Ajax","ON"
"Stanley","NC"
"Montréal-Nord","QC"
"Nellis Afb","NV"
"Cuddy","PA"
"Oka","QC"
"Repentigny","QC"
"Urbana","IL"
"Etibicoke","ON"
"Pleasant Hills","PA"
"O'hara Township","PA"
"TORONTO","ON"
"Sainte-Julie","QC"
"Peoria","AZ"
"Wilkinsburg","PA"
"Maricopa","AZ"
"Ville Mont-Royal","QC"
"Phoenix AZ","AZ"
"Outremont","QC"
"Youngtown","AZ"
"Midnapore","AB"
"Saint-Bruno","QC"
