business_id,name,city,state,postal_code,latitude,longitude,stars,review_count,is_open
__Nv9WyOxNXyVQRcpE7aDQ,Ashbrook Dental Care And Orthodontics,Mesa,AZ,85203,33.4510909,-111.8029925,3.5,11,1
_1PTNxS1jGJIoEK8mkoryg,Dollar Tree,Tempe,AZ,85283,33.3631587,-111.9081872,4,8,1
_263Hi0kMpEGg6dtBXB3ag,Cold Stone Creamery,Scottsdale,AZ,85254,33.6239702,-111.9283808,3.5,15,0
_6KeQG5LVVLFvvXkoLZITQ,Alterations & Creations by Flor,Surprise,AZ,85388,33.6268095,-112.432251,5,39,1
_6YyhacgZwQikGFdwmBkEQ,West 54 Media Group,Scottsdale,AZ,85251,33.4910141,-111.9279126,2.5,3,1
_8T05Uw3pRdTT4OLr_MUGA,Happy Cats Smoke and Vape,Goodyear,AZ,85338,33.4564118,-112.3942218,3.5,3,1
_B3jnaQVtDXqydea1y92fQ,Texas Roadhouse,Phoenix,AZ,85051,33.578692,-112.1182908,3.5,272,1
_b5UJlGcBdEdoWBi2ZE5pA,"Cardiovascular Consultants, Ltd. Corporate Office",Phoenix,AZ,85032,33.6400707,-112.0000357,2,19,1
_jMnMTqW13TJgHHJrFc7Ig,Elliot Market,Goodyear,AZ,85338,33.3559499,-112.4316466,1.5,8,1
_JZ7hXqOZ_MngjPWFgER0w,Pizza People Pub,Phoenix,AZ,85004,33.46340471,-112.0740759,4,384,1
_o8ivJiJeU4ML9zyuVw4Lg,"Hazem Jabr, DDS",Phoenix,AZ,85018,33.5099969,-111.9880736,5,7,1
_rakvUrv3Ph5gM11VTRO-w,Arizona Gastroenterology and Liver Clinic,Peoria,AZ,85381,33.6129249,-112.2365082,2,4,1
_s-YX4dqi2ZNEu460yr1xA,Arizona Personal Defense,Mesa Arizona,AZ,85210,33.3622129,-111.85955,5,5,1
_uFPwnKuYByj9_Zq9-C0Og,Amazing Lash Studio - Arcadia,Phoenix,AZ,85018,33.4941043,-111.988346,4,72,1
_VEdHgfhRbuZYX7g4kFOsA,The Little Clinic,Tempe,AZ,85284,33.32173429,-111.9295589,4.5,10,1
_woMtztfcenCXKX4FLnnow,Enterprise Rent-A-Car,Mesa,AZ,85206,33.3906299,-111.6961031,3,37,1
_ZwDLtBopUHb6F2mIPFUJg,Oregano's Pizza Bistro,Scottsdale,AZ,85258,33.5819029,-111.9252145,4,468,1
096-QWLbAq6eWXTBSs9_yw,Water Heaters 4 Less,Tempe,AZ,85285,33.3928523,-111.9360171,5,63,1
0a2fKfP6_PIx0djDrcln6w,Subway,Mesa,AZ,85201,33.414116,-111.872118,3,6,1
0c79VOBqmzaYUUjO4sIbCA,Big 5 Sporting Goods,Peoria,AZ,85345,33.5756126,-112.2569611,4.5,3,1
0gi2SbVUwuxaO5omvuAXpg,Water and Ice,Peoria,AZ,85381,33.5960283,-112.2398406,3.5,4,1
0gNb5h-37yKBxvOnCxnEHQ,Grand Nails Lounge,Phoenix,AZ,85054,33.6537606,-111.9283976,4,135,1
0gVPTer9PnXRmSjuHt-XgQ,Silver Inn Restaurant,Calgary,AB,T2E 2Y7,51.07623244,-114.062241,3.5,10,1
0GWJPdsL0vtcQQIDlr1Z2Q,Batteries Plus Bulbs,Scottsdale,AZ,85254,33.61735104,-111.9272092,4,20,1
0HV8dSmn81fLVr1p-Tqocg,Harumi Yoga+ Holistic Healing House,Scottsdale,AZ,85255,33.6983138,-111.8912786,5,14,1
0QENa9h9EpCngf1PqhdmIQ,Aqua-Tots Swim Schools North Phoenix,Phoenix,AZ,85027,33.6988968,-112.1012916,4,15,1
0rjU_WK5HxoH1fIuEpTpcg,Zesty Zzeeks Pizza and Wings,Phoenix,AZ,85044,33.32936422,-111.9796339,4,311,1
0rNtenZamAH-1q-2qO9xLg,First Watch,Scottsdale,AZ,85254,33.61450584,-111.9266609,3.5,68,1
0X_J5lCwM12tJ8Esv-0lgg,Hertz Rent A Car,Scottsdale,AZ,85260,33.620161,-111.9066967,3,15,1
0X2CTFjc6Qb4MKm9MYphMQ,Phoenix Pediatric Dental,Phoenix,AZ,85015,33.5360372,-112.1000411,3,25,1
0YW1HVgjqgSoizdKRebL6A,MidFirst Bank,Tempe,AZ,85284,33.348697,-111.9302182,3.5,12,1
-0YY5yQ3ufLB6EoPBsHGig,"Wen H. Wang, DDS",Gilbert,AZ,85234,33.3673952,-111.7548053,5,3,1
15lL8wN9MuxcAKe6F8Iq-w,The UPS Store,Avondale,AZ,85323,33.43537487,-112.3054802,1.5,15,1
16rLCEnPWG1jYAgY7NorTQ,Parc Central,Scottsdale,AZ,85260,33.6255675,-111.9244742,3.5,41,0
1EAamFLu0vvSJtEIYov70g,Youngblood Haircutters,Phoenix,AZ,85053,33.6393628,-112.1223663,3,5,0
1hyCCKi1QHHxQDXI8je2YQ,Juicy Couture,Scottsdale,AZ,85251,33.5028371,-111.9294198,3,9,0
1-mycIcKFGbvqLE60XrwnQ,Chili's,Calgary,AB,T2E 6W5,51.130466,-114.010191,2.5,44,1
1N6_FgS6nq5eT_3x4MXm4A,Water N Ice,Phoenix,AZ,85029,33.5984029,-112.1508086,5,5,1
1nno5CjwR2JwUHMGZp2AzA,Starbucks,Goodyear,AZ,85338,33.45149,-112.394504,2,15,1
1P28UaisTKDyqED8DLp5TQ,Sunchain Tanning,Tempe,AZ,85281,33.4468707,-111.9269721,4,9,0
1Qs8-7DUkIYrQVjBzFqdnA,Sasaki Sushi & Bar,Scottsdale,AZ,85251,33.492301,-111.923019,4.5,78,1
1uTCCFnavYClZTJqb8-Lqg,Kiehl's Chinook Centre,Calgary,AB,T2H 0K8,50.9978823,-114.0740046,4,4,1
26f6AynQlxbbBo2u1VxkvQ,Walgreens,Surprise,AZ,85374,33.6395623,-112.4260731,3.5,11,1
26K4x4fO7LqDb6adRhSNQg,Mesa Public Library,Mesa,AZ,85201,33.4181911,-111.8295668,4.5,11,1
2BvYpmCSUyg625HEcQ4Qmw,DELIA'S Cleaners,Scottsdale,AZ,85259,33.58846361,-111.8347796,3.5,12,1
2GtIC6u4hVneccWfTlOxHQ,Hong Kong Gourmet Buffet,Phoenix,AZ,85048,33.3039011,-111.9784087,3,177,0
2IGXj5B9B4sMWtZIlMIOyQ,Bigelow Limousine,Paradise Valley,AZ,85253,33.5388471,-111.9641728,4,8,1
2IHmggMLM-hDq4dFmwgzDw,Streets of New York,Phoenix,AZ,85022,33.6388923,-112.0661717,3.5,84,1
2MJd97hSFiaBGs_pWkjM3g,A & M Air Conditioning & Heating,Phoenix,AZ,85023,33.6323239,-112.0843614,4.5,8,1
2UtXzrjGsb0ptSemV5a-Mg,Costco Gasoline,Glendale,AZ,85308,33.641812,-112.232232,4,20,1
2Vl1jTanQ5GidYa9l-eDUQ,Second Heart Yoga,Phoenix,AZ,85018,33.4803371,-111.9840273,5,7,0
2vxlbp4LNvozU28dhqeNEg,Key Health Pharmacy & Compounding,Goodyear,AZ,85338,33.45306797,-112.3938009,5,7,1
2yjr1E-eFtj9afSXDN-j2g,Starbucks,Calgary,AB,T2S 1G9,51.009859,-114.0824059,3.5,3,1
30bg35wKXbHvEwrkcxXSkw,Highland Auto Repair,Chandler,AZ,85225,33.3322078,-111.8405173,4.5,33,1
32RDYS1pxMytL1rBSF__UA,Papa Murphy's,Mesa,AZ,85202,33.3775636,-111.8768373,4,22,1
3C5KnLOyYxWAz3y1dC4fsw,Wolfson Automotive,Phoenix,AZ,85032,33.6475375,-112.029633,4.5,6,1
3jy3CXO6gVEat4uB-E2msA,Orange Table Tempe,Tempe,AZ,85281,33.4229734,-111.9364826,3.5,104,0
3s18jqd-YZad723hTsC31A,Ross Dress for Less,Phoenix,AZ,85032,33.627553,-112.01057,3.5,8,1
3saG51hM2M14G5f-QwhGhg,Melt,Phoenix,AZ,85004,33.458466,-112.069568,4,354,1
3sva_eZx1T3pjFRM8_UYvw,BodyFuel Foods,Scottsdale,AZ,85251,33.49975448,-111.923697,3.5,23,0
3swjoD8A_7_0nJa_r36xCA,Mr. Appliance of Scottsdale & East Valley,Tempe,AZ,85282,33.3897576,-111.9343636,3,9,1
3-xQNQRSLoXHr09PHXqdQA,24 Hour Glass & Door Repair,Mesa,AZ,85210,33.3795745,-111.8327311,1.5,6,1
3YihZleZTBJiixc4uqStvA,Brooklyn Bedding,Phoenix,AZ,85031,33.5088773,-112.153589,3.5,7,1
3zEvzrHRcCuaE_-EWfstMg,Burger King,Goodyear,AZ,85395,33.48707876,-112.3632881,1.5,3,1
471fUA9qM7oQtVmGdf_Y9g,Dominos,Scottsdale,AZ,85266,33.77996937,-111.9250115,2.5,6,1
48ZF-cyTQ_St0NSMbXRlaw,Sonoran News,Cave Creek,AZ,85331,33.8316922,-111.9338637,1,4,1
4BteGRw4rpOPFeyf2hEoRA,Walgreens,Phoenix,AZ,85023,33.6115378,-112.111818,3,9,1
4EZWXsiUxcUNf8QQT2AQBA,The Dirty Pelican Grill,Glendale,AZ,85310,33.682848,-112.203559,2,37,0
4fLs0YXWk3MeZ6B16jZa9Q,Fit Body Bootcamp,Calgary,AB,T2H 0E8,50.98530649,-114.0709615,4,4,0
4j9ntEAxkjwdXkB7ZlQxgA,Opus 1 Orthodontic Studio,Scottsdale,AZ,85260,33.6388621,-111.8917382,5,9,1
4n7GLZ5WthcKTF9DMfrHrg,A A Sofa & Mattress Mfg,Phoenix,AZ,85019,33.49198981,-112.1375861,3.5,3,1
4owJVqdayODm4wcLoS3uCg,Gilbert Road Self Storage,Gilbert,AZ,85234,33.35747,-111.789397,5,11,1
4Puvwng-g8pBa7DtcYT8eg,One Church,Tempe,AZ,85284,33.3336278,-111.9142888,4.5,10,1
4qQseAKXwUVEmrqbaNwnCA,Michael A. Warren D.D.S. & Associates,Litchfield Park,AZ,85340,33.4930401,-112.3590635,3.5,3,1
