review_id,user_id,business_id,stars,useful,funny,cool,date
17rdgGd0aetFlIRhMSgN9w,__ci127-zwLiTd9lkEgR4g,_b5UJlGcBdEdoWBi2ZE5pA,1,4,0,0,06/04/2016 01:09
775kODqpnCOwgzsu869y-Q,__ci127-zwLiTd9lkEgR4g,_b5UJlGcBdEdoWBi2ZE5pA,1,9,0,1,11/04/2016 16:34
hYEZLZf4N61gyldnISQRtQ,2pCxIKbYY2VWDGT08qdixw,_b5UJlGcBdEdoWBi2ZE5pA,5,6,3,0,16/02/2017 17:53
Rb96HkGhSZ-oDa4YbZHcFA,6Jyrh-WrE4TgT7FFHgRoyQ,_b5UJlGcBdEdoWBi2ZE5pA,5,1,0,0,27/06/2018 22:33
GuoYpUBY_vcthQJXolSFng,7L71EHpDJIT0pBLvkkiUZQ,_b5UJlGcBdEdoWBi2ZE5pA,2,3,0,0,19/03/2018 18:42
NtqDoaPzGf4Pyy6RTI5WPQ,cRQgO_upGh_yZ96cStepIQ,_b5UJlGcBdEdoWBi2ZE5pA,5,0,0,0,27/05/2017 01:56
b83_BwKUS86GfMWptzsRzQ,eltN8QDJmhQNdM5-Gus_ZA,_b5UJlGcBdEdoWBi2ZE5pA,1,13,0,0,12/04/2017 19:46
BU7zE8HjG7LgwFFDPRHxUw,gCk1UfWDYggYqC5u9GJXCg,_b5UJlGcBdEdoWBi2ZE5pA,1,0,0,0,14/09/2018 02:08
f331WYKnx2ml6MMQSM8UyA,NmcFpP6KLzIZvxSMiYe0eQ,_b5UJlGcBdEdoWBi2ZE5pA,1,8,0,0,02/02/2018 21:08
ighlrakiMiKMB0CGZkNY1g,oun0mYYfNFFcTZLD3R-rmQ,_b5UJlGcBdEdoWBi2ZE5pA,3,7,2,1,26/03/2015 22:04
Js6ofJ7T_B5vxtqnKdoWvQ,paLnZw5qka0xWP34KFg9pQ,_b5UJlGcBdEdoWBi2ZE5pA,1,8,0,0,21/03/2017 23:56
pmF6iKOCcZL435K7EXZ8ZQ,q9T54D2oko117RLZQwqLFw,_b5UJlGcBdEdoWBi2ZE5pA,1,10,0,1,23/08/2015 13:23
