user_id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,Column1,compliment_photos,,,
__ci127-zwLiTd9lkEgR4g,Bill,4,21/09/2015 16:28,13,0,2,0,1.5,0,0,0,0,0,0,0,0,0,0,1,0,,,
__F5fPx9lowQZCaA1JRd4A,Erika,83,30/12/2011 00:05,25,2,8,2,4.32,2,0,0,0,0,1,1,0,0,0,1,1,,,
_4nl1_JNiWj8PU2auSOrqA,Pat,107,12/04/2015 18:24,68,9,21,1,4.1,0,0,0,0,0,2,5,0,0,3,1,1,,,
_55TrDwdpTRf5mzeJ8QIRg,Monique,14,25/02/2011 20:00,15,0,7,1,4.73,1,0,0,0,0,1,1,1,1,0,1,0,,,
_5c4SlvfXoRo2UfWe1HBHQ,Elena,15,15/04/2015 00:08,4,1,0,0,3.16,0,0,0,0,0,0,1,0,0,0,1,0,,,
_5FH2EN6CFCC9OlTc4g2mg,david,17,10/09/2011 00:40,14,3,6,1,4.35,0,0,0,0,0,0,0,0,0,0,1,0,,,
_8eEXOc1xvSZgU1VlBrMbg,j,27,12/03/2008 23:52,9,2,1,0,3.97,1,0,0,0,0,0,0,0,0,0,1,0,,,
_8HXvneX9yOVbKjF45rh_w,Merle,6,07/02/2012 20:25,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,,,
_9WKSGfBn193Wl3vd7kt1A,Lauren,280,30/07/2010 07:35,523,181,303,27,4.01,26,4,2,2,1,29,13,62,62,32,1,15,,,
_-BFjntubi-uFr5f5vZa-A,Stacie,8,12/09/2015 04:24,1,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,1,0,,,
_BlHuKv06DLFOzZk2f1CKg,Talisa,44,13/03/2014 20:34,29,6,6,1,4.4,0,0,0,0,0,0,0,0,0,0,1,0,,,
_CDP0zqXE3iqMYGitD_NjA,Carrie,240,05/07/2009 22:09,408,109,169,19,4.01,14,4,2,2,0,15,14,19,19,9,1,5,,,
_cPh314ttr3Qfh6vNArnAA,Amatulla,2,28/05/2018 00:30,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,,,
_DeLVocM-l3dYd3tsRrmeQ,Beth,50,19/10/2009 22:24,71,7,21,2,4.26,2,1,0,0,0,1,3,2,2,3,1,0,,,
_dmWR12NLme9745XqL7w6w,James,6,07/11/2012 02:01,5,1,0,0,3.67,0,0,0,0,0,0,0,0,0,0,1,0,,,
